[Header]	
System	9 mL TOC-L with TNM	
S/W Version	1.00	
User		
Date/Time	6/26/2024 6:25:25 PM	

[System]	
Instrument Options	TOC/ASI/IC Unit/TN/Sparge Kit/	

[Data]	
Type	Anal.	Sample Name	Sample ID	Result(TOC)	Result(TC)	Result(IC)	Result(POC)	Result(NPOC)	Result(TN)	Unit	Vial	Date / Time	
Unknown	NPOC/TN	CondBlank1	Untitled					0.1518	-0.1252	mg/L	1	6/5/2024 12:39:35 PM	
Unknown	NPOC/TN	CondBlank2	Untitled					0.00523	-0.03069	mg/L	2	6/5/2024 1:01:19 PM	
Unknown	NPOC/TN	CondBlank3	Untitled					0.01335	-0.1031	mg/L	3	6/5/2024 1:25:38 PM	
Standard	NPOC	STD_0-10ppmNPOC	Untitled					10.00		mg/L	4, 5, 6, 7, 8, 9, 10, 11	6/5/2024 4:42:18 PM	
Unknown	NPOC/TN	Blank 1	Untitled					-0.1463	0.000	mg/L	12	6/5/2024 5:02:49 PM	
Standard	TN	STD_0-10ppmTN	Untitled						10.00	mg/L	13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23	6/5/2024 8:34:00 PM	
Unknown	NPOC/TN	Blank 2	Untitled					-0.2443	7.396	mg/L	24	6/5/2024 8:59:36 PM	
Unknown	NPOC/TN	CKSTD1-1ppmNPOC	Untitled					0.7431	8.544	mg/L	25	6/5/2024 9:22:46 PM	
Unknown	NPOC/TN	Blank 3	Untitled					-0.1965	9.048	mg/L	26	6/5/2024 9:46:14 PM	
Unknown	NPOC/TN	DIT_01_BC1	Untitled					5.192	-2396	mg/L	27	6/5/2024 10:13:47 PM	
Unknown	NPOC/TN	DIT_01_BC2	Untitled					5.183	-2384	mg/L	28	6/5/2024 10:42:30 PM	
Unknown	NPOC/TN	DIT_01_BC3	Untitled					5.633	-2412	mg/L	29	6/5/2024 11:11:35 PM	
Unknown	NPOC/TN	DIT_01_BL1	Untitled					5.515	-2431	mg/L	30	6/5/2024 11:40:44 PM	
Unknown	NPOC/TN	DIT_01_BL2	Untitled					5.147	-2338	mg/L	31	6/6/2024 12:08:24 AM	
Unknown	NPOC/TN	DIT_01_BL3	Untitled					4.974	-2367	mg/L	32	6/6/2024 12:37:19 AM	
Unknown	NPOC/TN	DIT_01_FC1	Untitled					5.233	-2422	mg/L	33	6/6/2024 1:01:03 AM	
Unknown	NPOC/TN	DIT_01_FC2	Untitled					5.598	-2482	mg/L	34	6/6/2024 1:24:54 AM	
Unknown	NPOC/TN	DIT_01_FC3	Untitled					5.299	-2477	mg/L	35	6/6/2024 1:48:44 AM	
Unknown	NPOC/TN	Blank 4	Untitled					0.03782	5.738	mg/L	36	6/6/2024 2:14:40 AM	
Unknown	NPOC/TN	CKSTD2-1ppmTN	Untitled					0.2856	-2.860	mg/L	37	6/6/2024 2:41:12 AM	
Unknown	NPOC/TN	Blank 5	Untitled					-0.03191	6.773	mg/L	38	6/6/2024 3:04:47 AM	
Unknown	NPOC/TN	DIT_01_FL1	Untitled					3.186	-2517	mg/L	39	6/6/2024 3:33:53 AM	
Unknown	NPOC/TN	DIT_01_FL2	Untitled					5.253	-2478	mg/L	40	6/6/2024 3:57:37 AM	
Unknown	NPOC/TN	DIT_01_FL3	Untitled					2.836	-2501	mg/L	41	6/6/2024 4:25:16 AM	
Unknown	NPOC/TN	DIT_01_SC1	Untitled					5.093	-2315	mg/L	42	6/6/2024 4:54:33 AM	
