[Header]	
System	9 mL TOC-L with TNM	
S/W Version	1.00	
User		
Date/Time	6/26/2024 6:25:41 PM	

[System]	
Instrument Options	TOC/ASI/IC Unit/TN/Sparge Kit/	

[Data]	
Type	Anal.	Sample Name	Sample ID	Origin	Cal. Curve	Manual Dilution	Notes	Date / Time	Spl. No.	Inj. No.	Analysis(Inj.)	Area	Conc.	Result	Vial	Excluded	Inj. Vol.	Auto. Dil.	
Unknown	NPOC/TN	CondBlank1	Untitled	C:\TOC-L\Methods\9mL_NPOC_TN_50uL_CORRECT_method.met	C:\TOC-L\CalCurves\2024\May\NPOC_0-10ppm_20240530.2024_05_31_04_58_57.cal	1.00		6/5/2024 12:30:40 PM	1	1	NPOC	1.200	0.05841	NPOC:0.1518mg/L TN:-0.1252mg/L	1	0	50	1.000	
Unknown	NPOC/TN	CondBlank1	Untitled	C:\TOC-L\Methods\9mL_NPOC_TN_50uL_CORRECT_method.met	C:\TOC-L\CalCurves\2024\May\NPOC_0-10ppm_20240530.2024_05_31_04_58_57.cal	1.00		6/5/2024 12:33:53 PM	1	2	NPOC	1.851	0.1980	NPOC:0.1518mg/L TN:-0.1252mg/L	1	0	50	1.000	
Unknown	NPOC/TN	CondBlank1	Untitled	C:\TOC-L\Methods\9mL_NPOC_TN_50uL_CORRECT_method.met	C:\TOC-L\CalCurves\2024\May\NPOC_0-10ppm_20240530.2024_05_31_04_58_57.cal	1.00		6/5/2024 12:36:59 PM	1	3	NPOC	1.856	0.1991	NPOC:0.1518mg/L TN:-0.1252mg/L	1	0	50	1.000	
Unknown	NPOC/TN	CondBlank1	Untitled	C:\TOC-L\Methods\9mL_NPOC_TN_50uL_CORRECT_method.met	C:\TOC-L\CalCurves\2024\May\NPOC_0-10ppm_20240530.2024_05_31_04_58_57.cal	1.00		6/5/2024 12:39:35 PM	1	4	NPOC	0.8715	-0.01202	NPOC:0.1518mg/L TN:-0.1252mg/L	1	1	50	1.000	
Unknown	NPOC/TN	CondBlank1	Untitled	C:\TOC-L\Methods\9mL_NPOC_TN_50uL_CORRECT_method.met	C:\TOC-L\CalCurves\2024\May\TN_0-5ppm_20240530.2024_05_31_08_38_17.cal	1.00		6/5/2024 12:30:40 PM	1	1	TN	0.2049	-0.1005	NPOC:0.1518mg/L TN:-0.1252mg/L	1	0	50	1.000	
Unknown	NPOC/TN	CondBlank1	Untitled	C:\TOC-L\Methods\9mL_NPOC_TN_50uL_CORRECT_method.met	C:\TOC-L\CalCurves\2024\May\TN_0-5ppm_20240530.2024_05_31_08_38_17.cal	1.00		6/5/2024 12:33:53 PM	1	2	TN	0.02900	-0.1422	NPOC:0.1518mg/L TN:-0.1252mg/L	1	0	50	1.000	
Unknown	NPOC/TN	CondBlank1	Untitled	C:\TOC-L\Methods\9mL_NPOC_TN_50uL_CORRECT_method.met	C:\TOC-L\CalCurves\2024\May\TN_0-5ppm_20240530.2024_05_31_08_38_17.cal	1.00		6/5/2024 12:36:59 PM	1	3	TN	0.06800	-0.1329	NPOC:0.1518mg/L TN:-0.1252mg/L	1	0	50	1.000	
Unknown	NPOC/TN	CondBlank2	Untitled	C:\TOC-L\Methods\9mL_NPOC_TN_50uL_CORRECT_method.met	C:\TOC-L\CalCurves\2024\May\NPOC_0-10ppm_20240530.2024_05_31_04_58_57.cal	1.00		6/5/2024 12:50:14 PM	1	1	NPOC	0.8806	-0.01007	NPOC:0.00523mg/L TN:-0.03069mg/L	2	0	50	1.000	
Unknown	NPOC/TN	CondBlank2	Untitled	C:\TOC-L\Methods\9mL_NPOC_TN_50uL_CORRECT_method.met	C:\TOC-L\CalCurves\2024\May\NPOC_0-10ppm_20240530.2024_05_31_04_58_57.cal	1.00		6/5/2024 12:53:30 PM	1	2	NPOC	1.679	0.1611	NPOC:0.00523mg/L TN:-0.03069mg/L	2	1	50	1.000	
Unknown	NPOC/TN	CondBlank2	Untitled	C:\TOC-L\Methods\9mL_NPOC_TN_50uL_CORRECT_method.met	C:\TOC-L\CalCurves\2024\May\NPOC_0-10ppm_20240530.2024_05_31_04_58_57.cal	1.00		6/5/2024 12:57:06 PM	1	3	NPOC	1.189	0.05605	NPOC:0.00523mg/L TN:-0.03069mg/L	2	0	50	1.000	
Unknown	NPOC/TN	CondBlank2	Untitled	C:\TOC-L\Methods\9mL_NPOC_TN_50uL_CORRECT_method.met	C:\TOC-L\CalCurves\2024\May\NPOC_0-10ppm_20240530.2024_05_31_04_58_57.cal	1.00		6/5/2024 1:01:19 PM	1	4	NPOC	0.7863	-0.03029	NPOC:0.00523mg/L TN:-0.03069mg/L	2	0	50	1.000	
Unknown	NPOC/TN	CondBlank2	Untitled	C:\TOC-L\Methods\9mL_NPOC_TN_50uL_CORRECT_method.met	C:\TOC-L\CalCurves\2024\May\TN_0-5ppm_20240530.2024_05_31_08_38_17.cal	1.00		6/5/2024 12:50:14 PM	1	1	TN	0.000	-0.1490	NPOC:0.00523mg/L TN:-0.03069mg/L	2	1	50	1.000	
Unknown	NPOC/TN	CondBlank2	Untitled	C:\TOC-L\Methods\9mL_NPOC_TN_50uL_CORRECT_method.met	C:\TOC-L\CalCurves\2024\May\TN_0-5ppm_20240530.2024_05_31_08_38_17.cal	1.00		6/5/2024 12:53:30 PM	1	2	TN	0.1716	-0.1084	NPOC:0.00523mg/L TN:-0.03069mg/L	2	0	50	1.000	
Unknown	NPOC/TN	CondBlank2	Untitled	C:\TOC-L\Methods\9mL_NPOC_TN_50uL_CORRECT_method.met	C:\TOC-L\CalCurves\2024\May\TN_0-5ppm_20240530.2024_05_31_08_38_17.cal	1.00		6/5/2024 12:57:06 PM	1	3	TN	0.6348	0.00130	NPOC:0.00523mg/L TN:-0.03069mg/L	2	0	50	1.000	
Unknown	NPOC/TN	CondBlank2	Untitled	C:\TOC-L\Methods\9mL_NPOC_TN_50uL_CORRECT_method.met	C:\TOC-L\CalCurves\2024\May\TN_0-5ppm_20240530.2024_05_31_08_38_17.cal	1.00		6/5/2024 1:01:19 PM	1	4	TN	0.6927	0.01501	NPOC:0.00523mg/L TN:-0.03069mg/L	2	0	50	1.000	
Unknown	NPOC/TN	CondBlank3	Untitled	C:\TOC-L\Methods\9mL_NPOC_TN_50uL_CORRECT_method.met	C:\TOC-L\CalCurves\2024\May\NPOC_0-10ppm_20240530.2024_05_31_04_58_57.cal	1.00		6/5/2024 1:13:44 PM	1	1	NPOC	1.170	0.05197	NPOC:0.01335mg/L TN:-0.1031mg/L	3	0	50	1.000	
Unknown	NPOC/TN	CondBlank3	Untitled	C:\TOC-L\Methods\9mL_NPOC_TN_50uL_CORRECT_method.met	C:\TOC-L\CalCurves\2024\May\NPOC_0-10ppm_20240530.2024_05_31_04_58_57.cal	1.00		6/5/2024 1:16:56 PM	1	2	NPOC	0.7775	-0.03218	NPOC:0.01335mg/L TN:-0.1031mg/L	3	0	50	1.000	
Unknown	NPOC/TN	CondBlank3	Untitled	C:\TOC-L\Methods\9mL_NPOC_TN_50uL_CORRECT_method.met	C:\TOC-L\CalCurves\2024\May\NPOC_0-10ppm_20240530.2024_05_31_04_58_57.cal	1.00		6/5/2024 1:20:31 PM	1	3	NPOC	1.022	0.02024	NPOC:0.01335mg/L TN:-0.1031mg/L	3	0	50	1.000	
Unknown	NPOC/TN	CondBlank3	Untitled	C:\TOC-L\Methods\9mL_NPOC_TN_50uL_CORRECT_method.met	C:\TOC-L\CalCurves\2024\May\NPOC_0-10ppm_20240530.2024_05_31_04_58_57.cal	1.00		6/5/2024 1:25:38 PM	1	4	NPOC	1.427	0.1071	NPOC:0.01335mg/L TN:-0.1031mg/L	3	1	50	1.000	
Unknown	NPOC/TN	CondBlank3	Untitled	C:\TOC-L\Methods\9mL_NPOC_TN_50uL_CORRECT_method.met	C:\TOC-L\CalCurves\2024\May\TN_0-5ppm_20240530.2024_05_31_08_38_17.cal	1.00		6/5/2024 1:13:44 PM	1	1	TN	0.4939	-0.03206	NPOC:0.01335mg/L TN:-0.1031mg/L	3	0	50	1.000	
Unknown	NPOC/TN	CondBlank3	Untitled	C:\TOC-L\Methods\9mL_NPOC_TN_50uL_CORRECT_method.met	C:\TOC-L\CalCurves\2024\May\TN_0-5ppm_20240530.2024_05_31_08_38_17.cal	1.00		6/5/2024 1:16:56 PM	1	2	TN	0.000	-0.1490	NPOC:0.01335mg/L TN:-0.1031mg/L	3	0	50	1.000	
Unknown	NPOC/TN	CondBlank3	Untitled	C:\TOC-L\Methods\9mL_NPOC_TN_50uL_CORRECT_method.met	C:\TOC-L\CalCurves\2024\May\TN_0-5ppm_20240530.2024_05_31_08_38_17.cal	1.00		6/5/2024 1:20:31 PM	1	3	TN	1.129	0.1183	NPOC:0.01335mg/L TN:-0.1031mg/L	3	1	50	1.000	
Unknown	NPOC/TN	CondBlank3	Untitled	C:\TOC-L\Methods\9mL_NPOC_TN_50uL_CORRECT_method.met	C:\TOC-L\CalCurves\2024\May\TN_0-5ppm_20240530.2024_05_31_08_38_17.cal	1.00		6/5/2024 1:25:38 PM	1	4	TN	0.08840	-0.1281	NPOC:0.01335mg/L TN:-0.1031mg/L	3	0	50	1.000	
Standard	NPOC	STD_0-10ppmNPOC	Untitled	C:\TOC-L\CalCurves\2024\May\NPOC_0-10ppm_20240605.2024_06_05_13_25_38.cal		1.00		6/5/2024 1:36:23 PM	1	1	NPOC	3.750	0.000	 	4	0	50	1.000	
